phi1 Phi phi2 x y
340.500000 126.200000 56.500000 1 1
123.000000 2.400000 86.500000 1 2
123.000000 2.400000 86.500000 1 3
154.400000 79.400000 185.500000 1 4
282.800000 148.100000 61.300000 1 5
282.800000 148.100000 61.300000 1 6
282.800000 148.100000 61.300000 1 7
31.000000 83.000000 92.500000 1 8
43.400000 58.000000 90.700000 1 9
43.400000 58.000000 90.700000 1 10
43.400000 58.000000 90.700000 1 11
204.200000 70.200000 356.000000 1 12
37.200000 97.700000 271.000000 1 13
37.200000 97.700000 271.000000 1 14
37.200000 97.700000 271.000000 1 15
237.700000 122.800000 353.500000 1 16
340.500000 126.200000 56.500000 2 1
123.000000 2.400000 86.500000 2 2
154.400000 79.400000 185.500000 2 3
154.400000 79.400000 185.500000 2 4
282.800000 148.100000 61.300000 2 5
282.800000 148.100000 61.300000 2 6
287.700000 41.600000 204.400000 2 7
31.000000 83.000000 92.500000 2 8
43.400000 58.000000 90.700000 2 9
43.400000 58.000000 90.700000 2 10
43.400000 58.000000 90.700000 2 11
43.400000 58.000000 90.700000 2 12
37.200000 97.700000 271.000000 2 13
263.600000 95.100000 342.300000 2 14
204.800000 38.500000 27.600000 2 15
237.700000 122.800000 353.500000 2 16
36.000000 30.700000 150.400000 3 1
36.000000 30.700000 150.400000 3 2
36.000000 30.700000 150.400000 3 3
154.400000 79.400000 185.500000 3 4
282.800000 148.100000 61.300000 3 5
282.800000 148.100000 61.300000 3 6
287.700000 41.600000 204.400000 3 7
67.100000 106.500000 133.300000 3 8
43.400000 58.000000 90.700000 3 9
43.400000 58.000000 90.700000 3 10
43.400000 58.000000 90.700000 3 11
113.400000 94.200000 133.400000 3 12
138.700000 63.900000 246.900000 3 13
138.700000 63.900000 246.900000 3 14
204.800000 38.500000 27.600000 3 15
237.700000 122.800000 353.500000 3 16
36.000000 30.700000 150.400000 4 1
36.000000 30.700000 150.400000 4 2
36.000000 30.700000 150.400000 4 3
36.000000 30.700000 150.400000 4 4
